abandoned	@.b.{.n.d.@.n.d.	@.b.{.n.d.@.n.
neutralized	n.j.u.t.r.@.l.2.z.d.	n.j.u.t.r.@.l.2.z.
nibbled	n.I.b.P.d.	n.I.b.P.
nicked	n.I.k.t.	n.I.k.
nickelled	n.I.k.P.d.	n.I.k.P.
nickel-plated	".n.I.k.P.p.l.1.t.I.d.	".n.I.k.P.p.l.1.t.
nicknamed	n.I.k.n.1.m.d.	n.I.k.n.1.m.
niggled	n.I.g.P.d.	n.I.g.P.
nipped	n.I.p.t.	n.I.p.
nitpicked	n.I.t.p.I.k.t.	n.I.t.p.I.k.
nixed	n.I.k.s.t.	n.I.k.s.
nobbled	n.Q.b.P.d.	n.Q.b.P.
nodded	n.Q.d.I.d.	n.Q.d.
nominated	n.Q.m.I.n.1.t.I.d.	n.Q.m.I.n.1.t.
nonplussed	".n.Q.n.p.l.V.s.t.	".n.Q.n.p.l.V.s.
noosed	n.u.s.t.	n.u.s.
normalized	n.$.m.@.l.2.z.d.	n.$.m.@.l.2.z.
nosed	n.5.z.d.	n.5.z.
nosedived	n.5.z.d.2.v.d.	n.5.z.d.2.v.
noshed	n.Q.S.t.	n.Q.S.
notarized	n.5.t.@.r.2.z.d.	n.5.t.@.r.2.z.
notated	n.5.t.1.t.I.d.	n.5.t.1.t.
notched	n.Q.J.t.	n.Q.J.
noted	n.5.t.I.d.	n.5.t.
noticed	n.5.t.I.s.t.	n.5.t.I.s.
notified	n.5.t.I.f.2.d.	n.5.t.I.f.2.
nourished	n.V.r.I.S.t.	n.V.r.I.S.
nuanced	n.j.u.#.n.s.t.	n.j.u.#.n.s.
nudged	n.V._.d.	n.V._.
nullified	n.V.l.I.f.2.d.	n.V.l.I.f.2.
numbed	n.V.m.d.	n.V.m.
numbered	n.V.m.b.@.d.	n.V.m.b.@.R.
numerated	n.j.u.m.@.r.1.t.I.d.	n.j.u.m.@.r.1.t.
nursed	n.3.s.t.	n.3.s.
nurtured	n.3.J.@.d.	n.3.J.@.R.
nuzzled	n.V.z.P.d.	n.V.z.P.
obeyed	@.b.1.d.	@.b.1.
obfuscated	Q.b.f.V.s.k.1.t.I.d.	Q.b.f.V.s.k.1.t.
objected	@.b._.E.k.t.I.d.	@.b._.E.k.t.
objurgated	Q.b._.@.g.1.t.I.d.	Q.b._.@.g.1.t.
obligated	Q.b.l.I.g.1.t.I.d.	Q.b.l.I.g.1.t.
obliged	@.b.l.2._.d.	@.b.l.2._.
obliterated	@.b.l.I.t.@.r.1.t.I.d.	@.b.l.I.t.@.r.1.t.
obscured	@.b.s.k.j.9.d.	@.b.s.k.j.9.R.
observed	@.b.z.3.v.d.	@.b.z.3.v.
obsessed	@.b.s.E.s.t.	@.b.s.E.s.
obsolesced	".Q.b.s.@.l.E.s.t.	".Q.b.s.@.l.E.s.
obstructed	@.b.s.t.r.V.k.t.I.d.	@.b.s.t.r.V.k.t.
obtained	@.b.t.1.n.d.	@.b.t.1.n.
obtruded	@.b.t.r.u.d.I.d.	@.b.t.r.u.d.
obviated	Q.b.v.I.1.t.I.d.	Q.b.v.I.1.t.
occasioned	@.k.1.Z.H.d.	@.k.1.Z.H.
occupied	Q.k.j.U.p.2.d.	Q.k.j.U.p.2.
occurred	@.k.3.d.	@.k.3.R.
offended	@.f.E.n.d.I.d.	@.f.E.n.d.
offered	Q.f.@.d.	Q.f.@.R.
officiated	@.f.I.S.I.1.t.I.d.	@.f.I.S.I.1.t.
off-loaded	".Q.f.l.5.d.I.d.	".Q.f.l.5.d.
ogled	5.g.P.d.	5.g.P.
oiled	4.l.d.	4.l.
oinked	4.N.k.t.	4.N.k.
okayed	".5.k.1.d.	".5.k.1.
omened	5.m.E.n.d.	5.m.E.n.
omitted	@.m.I.t.I.d.	@.m.I.t.
oozed	u.z.d.	u.z.
opalesced	".5.p.@.l.E.s.t.	".5.p.@.l.E.s.
opened	5.p.@.n.d.	5.p.@.n.
operated	Q.p.@.r.1.t.I.d.	Q.p.@.r.1.t.
opined	5.p.2.n.d.	5.p.2.n.
opposed	@.p.5.z.d.	@.p.5.z.
oppressed	@.p.r.E.s.t.	@.p.r.E.s.
oppugned	@.p.j.u.n.d.	@.p.j.u.n.
orated	$.r.1.t.I.d.	$.r.1.t.
orbited	$.b.I.t.I.d.	$.b.I.t.
orchestrated	$.k.I.s.t.r.1.t.I.d.	$.k.I.s.t.r.1.t.
ordained	$.d.1.n.d.	$.d.1.n.
ordered	$.d.@.d.	$.d.@.R.
organized	$.g.@.n.2.z.d.	$.g.@.n.2.z.
orientated	$.r.I.E.n.t.1.t.I.d.	$.r.I.E.n.t.1.t.
oriented	$.r.7.n.t.I.d.	$.r.7.n.t.
originated	@.r.I._.@.n.1.t.I.d.	@.r.I._.@.n.1.t.
ornamented	$.n.@.m.E.n.t.I.d.	$.n.@.m.E.n.t.
orphaned	$.f.H.d.	$.f.H.
oscillated	Q.s.I.l.1.t.I.d.	Q.s.I.l.1.t.
osculated	Q.s.k.j.U.l.1.t.I.d.	Q.s.k.j.U.l.1.t.
ossified	Q.s.I.f.2.d.	Q.s.I.f.2.
ostracized	Q.s.t.r.@.s.2.z.d.	Q.s.t.r.@.s.2.z.
ousted	6.s.t.I.d.	6.s.t.
outbade	".6.t.b.1.d.	".6.t.b.I.d.
outbalanced	".6.t.b.{.l.@.n.s.t.	".6.t.b.{.l.@.n.s.
outbraved	".6.t.b.r.1.v.d.	".6.t.b.r.1.v.
outclassed	".6.t.k.l.#.s.t.	".6.t.k.l.#.s.
outdated	6.t.d.1.t.I.d.	6.t.d.1.t.
outdid	".6.t.d.I.d.	".6.t.d.u.
outdistanced	".6.t.d.I.s.t.@.n.s.t.	".6.t.d.I.s.t.@.n.s.
outed	6.t.I.d.	6.t.
outfaced	".6.t.f.1.s.t.	".6.t.f.1.s.
outfitted	6.t.f.I.t.I.d.	6.t.f.I.t.
outflanked	".6.t.f.l.{.N.k.t.	".6.t.f.l.{.N.k.
outfought	6.t.f.$.t.	6.t.f.2.t.
outfoxed	6.t.f.Q.k.s.t.	6.t.f.Q.k.s.
outgeneralled	".6.t._.E.n.@.r.@.l.d.	".6.t._.E.n.@.r.@.l.
outgrew	".6.t.g.r.u.	".6.t.g.r.5.
out-Heroded	".6.t.h.E.r.@.d.I.d.	".6.t.h.E.r.@.d.
outlaid	6.t.l.1.d.	6.t.l.1.
outlasted	".6.t.l.#.s.t.I.d.	".6.t.l.#.s.t.
outlawed	6.t.l.$.d.	6.t.l.$.
outlined	6.t.l.2.n.d.	6.t.l.2.n.
outlived	".6.t.l.I.v.d.	".6.t.l.I.v.
outmanoeuvred	".6.t.m.@.n.u.v.@.d.	".6.t.m.@.n.u.v.@.R.
outmarched	".6.t.m.#.J.t.	".6.t.m.#.J.
outmatched	".6.t.m.{.J.t.	".6.t.m.{.J.
outnumbered	".6.t.n.V.m.b.@.d.	".6.t.n.V.m.b.@.R.
outplayed	".6.t.p.l.1.d.	".6.t.p.l.1.
outpointed	6.t.p.4.n.t.I.d.	6.t.p.4.n.t.
outraged	6.t.r.1._.d.	6.t.r.1._.
outran	".6.t.r.{.n.	".6.t.r.V.n.
outranged	".6.t.r.1.n._.d.	".6.t.r.1.n._.
outranked	6.t.r.{.N.k.t.	6.t.r.{.N.k.
outrivalled	".6.t.r.2.v.P.d.	".6.t.r.2.v.P.
outrode	".6.t.r.5.d.	".6.t.r.2.d.
outsailed	".6.t.s.1.l.d.	".6.t.s.1.l.
outshone	".6.t.S.Q.n.	".6.t.S.2.n.
outsmarted	6.t.s.m.#.t.I.d.	6.t.s.m.#.t.
outsold	".6.t.s.5.l.d.	".6.t.s.E.l.
outspanned	6.t.s.p.{.n.d.	6.t.s.p.{.n.
outstayed	".6.t.s.t.1.d.	".6.t.s.t.1.
outstripped	".6.t.s.t.r.I.p.t.	".6.t.s.t.r.I.p.
outtalked	".6.t.t.$.k.t.	".6.t.t.$.k.
outvied	".6.t.v.2.d.	".6.t.v.2.
outvoted	".6.t.v.5.t.I.d.	".6.t.v.5.t.
outweighed	".6.t.w.1.d.	".6.t.w.1.
outwent	".6.t.w.E.n.t.	".6.t.g.5.
outwitted	".6.t.w.I.t.I.d.	".6.t.w.I.t.
outwore	".6.t.w.$.	".6.t.w.8.R.
overacted	".5.v.@.r.{.k.t.I.d.	".5.v.@.r.{.k.t.
overarched	".5.v.@.r.#.J.t.	".5.v.@.r.#.J.
over-ate	".5.v.@.r.E.t.	".5.v.@.r.i.t.
overawed	".5.v.@.r.$.d.	".5.v.@.r.$.
overbalanced	".5.v.@.b.{.l.@.n.s.t.	".5.v.@.b.{.l.@.n.s.
overbore	".5.v.@.b.$.	".5.v.@.b.8.R.
overburdened	".5.v.@.b.3.d.H.d.	".5.v.@.b.3.d.H.
overcalled	".5.v.@.k.$.l.d.	".5.v.@.k.$.l.
overcame	".5.v.@.k.1.m.	".5.v.@.k.V.m.
overcapitalized	".5.v.@.k.{.p.I.t.@.l.2.z.d.	".5.v.@.k.{.p.I.t.@.l.2.z.
overcharged	".5.v.@.J.#._.d.	".5.v.@.J.#._.
overclouded	".5.v.@.k.l.6.d.I.d.	".5.v.@.k.l.6.d.
overcompensated	".5.v.@.k.Q.m.p.E.n.s.1.t.I.d.	".5.v.@.k.Q.m.p.E.n.s.1.t.
over-cooked	".5.v.@.k.U.k.t.	".5.v.@.k.U.k.
overcropped	".5.v.@.k.r.Q.p.t.	".5.v.@.k.r.Q.p.
overcrowded	".5.v.@.k.r.6.d.I.d.	".5.v.@.k.r.6.d.
overdeveloped	".5.v.@.d.I.v.E.l.@.p.t.	".5.v.@.d.I.v.E.l.@.p.
overdid	".5.v.@.d.I.d.	".5.v.@.d.u.
overdressed	".5.v.@.d.r.E.s.t.	".5.v.@.d.r.E.s.
overdrew	".5.v.@.d.r.u.	".5.v.@.d.r.$.
over-emphasized	".5.v.@.r.{.m.f.@.s.2.z.d.	".5.v.@.r.{.m.f.@.s.2.z.
overestimated	".5.v.@.r.E.s.t.I.m.1.t.I.d.	".5.v.@.r.E.s.t.I.m.1.t.
over-exerted	".5.v.@.r.I.g.z.3.t.I.d.	".5.v.@.r.I.g.z.3.t.
overexposed	".5.v.@.r.I.k.s.p.5.z.d.	".5.v.@.r.I.k.s.p.5.z.
overflew	".5.v.@.f.l.u.	".5.v.@.f.l.2.
overflowed	5.v.@.f.l.5.d.	5.v.@.f.l.5.
overhauled	".5.v.@.h.$.l.d.	".5.v.@.h.$.l.
overheard	".5.v.@.h.3.d.	".5.v.@.h.7.R.
over-heated	".5.v.@.h.i.t.I.d.	".5.v.@.h.i.t.
overhung	".5.v.@.h.V.N.	".5.v.@.h.{.N.
over-indulged	".5.v.@.r.I.n.d.V.l._.d.	".5.v.@.r.I.n.d.V.l._.
overjoyed	".5.v.@._.4.d.	".5.v.@._.4.
overlaid	".5.v.@.l.1.d.	".5.v.@.l.1.
overlapped	".5.v.@.l.{.p.t.	".5.v.@.l.{.p.
overlay	".5.v.@.l.1.	".5.v.@.l.2.
overleaped	".5.v.@.l.i.p.t.	".5.v.@.l.i.p.
overleaped	".5.v.@.l.i.p.t.	".5.v.@.l.i.p.
overleapt	".5.v.@.l.E.p.t.	".5.v.@.l.i.p.
overleapt	".5.v.@.l.E.p.t.	".5.v.@.l.i.p.
overloaded	".5.v.@.l.5.d.I.d.	".5.v.@.l.5.d.
overlooked	".5.v.@.l.U.k.t.	".5.v.@.l.U.k.
overmanned	".5.v.@.m.{.n.d.	".5.v.@.m.{.n.
overmastered	".5.v.@.m.#.s.t.@.d.	".5.v.@.m.#.s.t.@.R.
overpaid	".5.v.@.p.1.d.	".5.v.@.p.1.
overplayed	".5.v.@.p.l.1.d.	".5.v.@.p.l.1.
overpowered	".5.v.@.p.6.@.d.	".5.v.@.p.6.@.R.
over-praised	".5.v.@.p.r.1.z.d.	".5.v.@.p.r.1.z.
overprinted	5.v.@.p.r.I.n.t.I.d.	5.v.@.p.r.I.n.t.
over-produced	".5.v.@.p.r.@.d.j.u.s.t.	".5.v.@.p.r.@.d.j.u.s.
overran	".5.v.@.r.{.n.	".5.v.@.r.V.n.
overrated	".5.v.@.r.1.t.I.d.	".5.v.@.r.1.t.
overreached	".5.v.@.r.i.J.t.	".5.v.@.r.i.J.
overrode	".5.v.@.r.5.d.	".5.v.@.r.2.d.
overruled	".5.v.@.r.u.l.d.	".5.v.@.r.u.l.
oversaw	".5.v.@.s.$.	".5.v.@.s.i.
overshadowed	".5.v.@.S.{.d.5.d.	".5.v.@.S.{.d.5.
overshot	".5.v.@.S.Q.t.	".5.v.@.S.u.t.
oversimplified	".5.v.@.s.I.m.p.l.I.f.2.d.	".5.v.@.s.I.m.p.l.I.f.2.
overslept	".5.v.@.s.l.E.p.t.	".5.v.@.s.l.i.p.
oversold	".5.v.@.s.5.l.d.	".5.v.@.s.E.l.
overstated	".5.v.@.s.t.1.t.I.d.	".5.v.@.s.t.1.t.
overstayed	".5.v.@.s.t.1.d.	".5.v.@.s.t.1.
oversteered	".5.v.@.s.t.7.d.	".5.v.@.s.t.7.R.
overstepped	".5.v.@.s.t.E.p.t.	".5.v.@.s.t.E.p.
overstocked	".5.v.@.s.t.Q.k.t.	".5.v.@.s.t.Q.k.
over-strained	".5.v.@.s.t.r.1.n.d.	".5.v.@.s.t.r.1.n.
overtaxed	".5.v.@.t.{.k.s.t.	".5.v.@.t.{.k.s.
overthrew	".5.v.@.T.r.u.	".5.v.@.T.r.5.
overtook	".5.v.@.t.U.k.	".5.v.@.t.1.k.
overtopped	".5.v.@.t.Q.p.t.	".5.v.@.t.Q.p.
overtrumped	".5.v.@.t.r.V.m.p.t.	".5.v.@.t.r.V.m.p.
overturned	".5.v.@.t.3.n.d.	".5.v.@.t.3.n.
over-valued	".5.v.@.v.{.l.j.u.d.	".5.v.@.v.{.l.j.u.
overweighted	".5.v.@.w.1.t.I.d.	".5.v.@.w.1.t.
overwhelmed	".5.v.@.w.E.l.m.d.	".5.v.@.w.E.l.m.
overworked	".5.v.@.w.3.k.t.	".5.v.@.w.3.k.
ovulated	Q.v.j.u.l.1.t.I.d.	Q.v.j.u.l.1.t.
owed	5.d.	5.
owned	5.n.d.	5.n.
oxidized	Q.k.s.I.d.2.z.d.	Q.k.s.I.d.2.z.
oxygenated	Q.k.s.I._.@.n.1.t.I.d.	Q.k.s.I._.@.n.1.t.
oxygenized	Q.k.s.I._.@.n.2.z.d.	Q.k.s.I._.@.n.2.z.
paced	p.1.s.t.	p.1.s.
pacified	p.{.s.I.f.2.d.	p.{.s.I.f.2.
packaged	p.{.k.I._.d.	p.{.k.I._.
packed	p.{.k.t.	p.{.k.
padded	p.{.d.I.d.	p.{.d.
paddled	p.{.d.P.d.	p.{.d.P.
padlocked	p.{.d.l.Q.k.t.	p.{.d.l.Q.k.
paged	p.1._.d.	p.1._.
paginated	p.{._.I.n.1.t.I.d.	p.{._.I.n.1.t.
paid	p.1.d.	p.1.
pained	p.1.n.d.	p.1.n.
painted	p.1.n.t.I.d.	p.1.n.t.
paired	p.8.d.	p.8.R.
palatalized	p.{.l.@.t.@.l.2.z.d.	p.{.l.@.t.@.l.2.z.
palavered	p.@.l.#.v.@.d.	p.@.l.#.v.@.R.
paled	p.1.l.d.	p.1.l.
palisaded	".p.{.l.I.s.1.d.I.d.	".p.{.l.I.s.1.d.
palled	p.$.l.d.	p.$.l.
palliated	p.{.l.I.1.t.I.d.	p.{.l.I.1.t.
palmed	p.#.m.d.	p.#.m.
palpated	p.{.l.p.1.t.I.d.	p.{.l.p.1.t.
palpitated	p.{.l.p.I.t.1.t.I.d.	p.{.l.p.I.t.1.t.
palsied	p.$.l.z.I.d.	p.$.l.z.I.
pampered	p.{.m.p.@.d.	p.{.m.p.@.R.
pancaked	p.{.N.k.1.k.t.	p.{.N.k.1.k.
pandered	p.{.n.d.@.d.	p.{.n.d.@.R.
panelled	p.{.n.P.d.	p.{.n.P.
panhandled	p.{.n.".h.{.n.d.P.d.	p.{.n.".h.{.n.d.P.
panicked	p.{.n.I.k.t.	p.{.n.I.k.
panned	p.{.n.d.	p.{.n.
panted	p.{.n.t.I.d.	p.{.n.t.
papered	p.1.p.@.d.	p.1.p.@.R.
parachuted	p.{.r.@.S.u.t.I.d.	p.{.r.@.S.u.t.
paraded	p.@.r.1.d.I.d.	p.@.r.1.d.
paragraphed	p.{.r.@.g.r.#.f.t.	p.{.r.@.g.r.#.f.
paralleled	p.{.r.@.l.E.l.d.	p.{.r.@.l.E.l.
paralysed	p.{.r.@.l.2.z.d.	p.{.r.@.l.2.z.
paraphrased	p.{.r.@.f.r.1.z.d.	p.{.r.@.f.r.1.z.
parboiled	p.#.b.4.l.d.	p.#.b.4.l.
parched	p.#.J.t.	p.#.J.
pardoned	p.#.d.H.d.	p.#.d.H.
pared	p.8.d.	p.8.R.
pared	p.#.d.	p.#.R.
parked	p.#.k.t.	p.#.k.
parleyed	p.#.l.I.d.	p.#.l.I.
parodied	p.{.r.@.d.I.d.	p.{.r.@.d.I.
paroled	p.@.r.5.l.d.	p.@.r.5.l.
parried	p.{.r.I.d.	p.{.r.I.
parroted	p.{.r.@.t.I.d.	p.{.r.@.t.
parsed	p.#.z.d.	p.#.z.
parted	p.#.t.I.d.	p.#.t.
participated	p.#.t.I.s.I.p.1.t.I.d.	p.#.t.I.s.I.p.1.t.
particularized	p.@.t.I.k.j.U.l.@.r.2.z.d.	p.@.t.I.k.j.U.l.@.r.2.z.
partitioned	p.#.t.I.S.H.d.	p.#.t.I.S.H.
partnered	p.#.t.n.@.d.	p.#.t.n.@.R.
partook	p.#.t.U.k.	p.#.t.1.k.
passed	p.#.s.t.	p.#.s.
passivized	p.{.s.I.v.2.z.d.	p.{.s.I.v.2.z.
pasted	p.1.s.t.I.d.	p.1.s.t.
pasteurized	p.#.s.J.@.r.2.z.d.	p.#.s.J.@.r.2.z.
pastured	p.#.s.J.@.d.	p.#.s.J.@.R.
patched	p.{.J.t.	p.{.J.
patented	p.1.t.@.n.t.I.d.	p.1.t.@.n.t.
patrolled	p.@.t.r.5.l.d.	p.@.t.r.5.l.
patronized	p.{.t.r.@.n.2.z.d.	p.{.t.r.@.n.2.z.
patted	p.{.t.I.d.	p.{.t.
pattered	p.{.t.@.d.	p.{.t.@.R.
patterned	p.{.t.@.n.d.	p.{.t.@.n.
pauperized	p.$.p.@.r.2.z.d.	p.$.p.@.r.2.z.
paused	p.$.z.d.	p.$.z.
paved	p.1.v.d.	p.1.v.
pawed	p.$.d.	p.$.
pawned	p.$.n.d.	p.$.n.
peached	p.i.J.t.	p.i.J.
peaked	p.i.k.t.	p.i.k.
pealed	p.i.l.d.	p.i.l.
pearled	p.3.l.d.	p.3.l.
pecked	p.E.k.t.	p.E.k.
peculated	p.E.k.j.U.l.1.t.I.d.	p.E.k.j.U.l.1.t.
pedalled	p.E.d.P.d.	p.E.d.P.
peddled	p.E.d.P.d.	p.E.d.P.
peed	p.i.d.	p.i.
peeked	p.i.k.t.	p.i.k.
peeled	p.i.l.d.	p.i.l.
peeped	p.i.p.t.	p.i.p.
peered	p.7.d.	p.7.R.
peeved	p.i.v.d.	p.i.v.
pegged	p.E.g.d.	p.E.g.
pelted	p.E.l.t.I.d.	p.E.l.t.
penalized	p.i.n.@.l.2.z.d.	p.i.n.@.l.2.z.
pencilled	p.E.n.s.P.d.	p.E.n.s.P.
penetrated	p.E.n.I.t.r.1.t.I.d.	p.E.n.I.t.r.1.t.
penned	p.E.n.d.	p.E.n.
peopled	p.i.p.P.d.	p.i.p.P.
peppered	p.E.p.@.d.	p.E.p.@.R.
perambulated	p.@.r.{.m.b.j.U.l.1.t.I.d.	p.@.r.{.m.b.j.U.l.1.t.
perceived	p.@.s.i.v.d.	p.@.s.i.v.
perched	p.3.J.t.	p.3.J.
percolated	p.3.k.@.l.1.t.I.d.	p.3.k.@.l.1.t.
peregrinated	p.E.r.I.g.r.I.n.1.t.I.d.	p.E.r.I.g.r.I.n.1.t.
perfected	p.@.f.E.k.t.I.d.	p.@.f.E.k.t.
perforated	p.3.f.@.r.1.t.I.d.	p.3.f.@.r.1.t.
performed	p.@.f.$.m.d.	p.@.f.$.m.
perfumed	p.@.f.j.u.m.d.	p.@.f.j.u.m.
perished	p.E.r.I.S.t.	p.E.r.I.S.
perjured	p.3._.@.d.	p.3._.@.R.
perked	p.3.k.t.	p.3.k.
permeated	p.3.m.I.1.t.I.d.	p.3.m.I.1.t.
permed	p.3.m.d.	p.3.m.
permitted	p.@.m.I.t.I.d.	p.@.m.I.t.
permuted	p.@.m.j.u.t.I.d.	p.@.m.j.u.t.
perorated	p.E.r.@.r.1.t.I.d.	p.E.r.@.r.1.t.
perpetrated	p.3.p.I.t.r.1.t.I.d.	p.3.p.I.t.r.1.t.
perpetuated	p.@.p.E.J.U.1.t.I.d.	p.@.p.E.J.U.1.t.
perplexed	p.@.p.l.E.k.s.t.	p.@.p.l.E.k.s.
persecuted	p.3.s.I.k.j.u.t.I.d.	p.3.s.I.k.j.u.t.
persevered	".p.3.s.I.v.7.d.	".p.3.s.I.v.7.R.
persisted	p.@.s.I.s.t.I.d.	p.@.s.I.s.t.
personalized	p.3.s.H.@.l.2.z.d.	p.3.s.H.@.l.2.z.
personated	p.3.s.@.n.1.t.I.d.	p.3.s.@.n.1.t.
personified	p.@.s.Q.n.I.f.2.d.	p.@.s.Q.n.I.f.2.
perspired	p.@.s.p.2.@.d.	p.@.s.p.2.@.R.
persuaded	p.@.s.w.1.d.I.d.	p.@.s.w.1.d.
perturbed	p.@.t.3.b.d.	p.@.t.3.b.
perused	p.@.r.u.z.d.	p.@.r.u.z.
pervaded	p.@.v.1.d.I.d.	p.@.v.1.d.
perverted	p.@.v.3.t.I.d.	p.@.v.3.t.
pestered	p.E.s.t.@.d.	p.E.s.t.@.R.
pestled	p.E.s.P.d.	p.E.s.P.
petitioned	p.@.t.I.S.H.d.	p.@.t.I.S.H.
petrified	p.E.t.r.I.f.2.d.	p.E.t.r.I.f.2.
petted	p.E.t.I.d.	p.E.t.
pettifogged	p.E.t.I.f.Q.g.d.	p.E.t.I.f.Q.g.
phased	f.1.z.d.	f.1.z.
philandered	f.I.l.{.n.d.@.d.	f.I.l.{.n.d.@.R.
philosophized	f.I.l.Q.s.@.f.2.z.d.	f.I.l.Q.s.@.f.2.z.
phoned	f.5.n.d.	f.5.n.
phosphoresced	".f.Q.s.f.@.r.E.s.t.	".f.Q.s.f.@.r.E.s.
photocopied	f.5.t.5.".k.Q.p.I.d.	f.5.t.5.".k.Q.p.I.
photographed	f.5.t.@.g.r.#.f.t.	f.5.t.@.g.r.#.f.
photosensitized	".f.5.t.5.s.E.n.s.I.t.2.z.d.	".f.5.t.5.s.E.n.s.I.t.2.z.
photostatted	f.5.t.5.s.t.{.t.I.d.	f.5.t.5.s.t.{.t.
phrased	f.r.1.z.d.	f.r.1.z.
picked	p.I.k.t.	p.I.k.
picketed	p.I.k.I.t.I.d.	p.I.k.I.t.
pickled	p.I.k.P.d.	p.I.k.P.
picnicked	p.I.k.n.I.k.t.	p.I.k.n.I.k.
pictured	p.I.k.J.@.d.	p.I.k.J.@.R.
piddled	p.I.d.P.d.	p.I.d.P.
pieced	p.i.s.t.	p.i.s.
pierced	p.7.s.t.	p.7.s.
piffled	p.I.f.P.d.	p.I.f.P.
pigeonholed	p.I._.I.n.h.5.l.d.	p.I._.I.n.h.5.l.
piked	p.2.k.t.	p.2.k.
piled	p.2.l.d.	p.2.l.
pilfered	p.I.l.f.@.d.	p.I.l.f.@.R.
pillaged	p.I.l.I._.d.	p.I.l.I._.
pilloried	p.I.l.@.r.I.d.	p.I.l.@.r.I.
pillowed	p.I.l.5.d.	p.I.l.5.
piloted	p.2.l.@.t.I.d.	p.2.l.@.t.
pimped	p.I.m.p.t.	p.I.m.p.
pinched	p.I.n.J.t.	p.I.n.J.
pined	p.2.n.d.	p.2.n.
pinged	p.I.N.d.	p.I.N.
pinioned	p.I.n.j.@.n.d.	p.I.n.j.@.n.
pinked	p.I.N.k.t.	p.I.N.k.
pinnacled	p.I.n.@.k.P.d.	p.I.n.@.k.P.
pinned	p.I.n.d.	p.I.n.
pinpointed	p.I.n.p.4.n.t.I.d.	p.I.n.p.4.n.t.
pioneered	".p.2.@.n.7.d.	".p.2.@.n.7.R.
piped	p.2.p.t.	p.2.p.
pipped	p.I.p.t.	p.I.p.
piqued	p.i.k.t.	p.i.k.
pirated	p.2.@.r.@.t.I.d.	p.2.@.r.@.t.
pirouetted	".p.I.r.U.E.t.I.d.	".p.I.r.U.E.t.
pissed	p.I.s.t.	p.I.s.
pitched	p.I.J.t.	p.I.J.
pitchforked	p.I.J.f.$.k.t.	p.I.J.f.$.k.
pitied	p.I.t.I.d.	p.I.t.I.
pitted	p.I.t.I.d.	p.I.t.
pivoted	p.I.v.@.t.I.d.	p.I.v.@.t.
placarded	p.l.{.k.#.d.I.d.	p.l.{.k.#.d.
placated	p.l.@.k.1.t.I.d.	p.l.@.k.1.t.
placed	p.l.1.s.t.	p.l.1.s.
plagiarized	p.l.1._.j.@.r.2.z.d.	p.l.1._.j.@.r.2.z.
plagued	p.l.1.g.d.	p.l.1.g.
plained	p.l.1.n.d.	p.l.1.n.
plaited	p.l.{.t.I.d.	p.l.{.t.
planed	p.l.1.n.d.	p.l.1.n.
planked	p.l.{.N.k.t.	p.l.{.N.k.
planned	p.l.{.n.d.	p.l.{.n.
planted	p.l.#.n.t.I.d.	p.l.#.n.t.
plashed	p.l.{.S.t.	p.l.{.S.
plastered	p.l.#.s.t.@.d.	p.l.#.s.t.@.R.
plated	p.l.1.t.I.d.	p.l.1.t.
play-acted	p.l.1.{.k.t.I.d.	p.l.1.{.k.t.
played	p.l.1.d.	p.l.1.
pleached	p.l.i.J.t.	p.l.i.J.
pleaded	p.l.i.d.I.d.	p.l.i.d.
pleased	p.l.i.z.d.	p.l.i.z.
pleated	p.l.i.t.I.d.	p.l.i.t.
pled	p.l.E.d.	p.l.i.d.
pledged	p.l.E._.d.	p.l.E._.
plenished	p.l.E.n.I.S.t.	p.l.E.n.I.S.
plied	p.l.2.d.	p.l.2.
plighted	p.l.2.t.I.d.	p.l.2.t.
plodded	p.l.Q.d.I.d.	p.l.Q.d.
plonked	p.l.Q.N.k.t.	p.l.Q.N.k.
plopped	p.l.Q.p.t.	p.l.Q.p.
plotted	p.l.Q.t.I.d.	p.l.Q.t.
ploughed	p.l.6.d.	p.l.6.
plucked	p.l.V.k.t.	p.l.V.k.
plugged	p.l.V.g.d.	p.l.V.g.
plumbed	p.l.V.m.d.	p.l.V.m.
plumed	p.l.u.m.d.	p.l.u.m.
plummetted	p.l.V.m.I.t.I.d.	p.l.V.m.I.t.
plumped	p.l.V.m.p.t.	p.l.V.m.p.
plundered	p.l.V.n.d.@.d.	p.l.V.n.d.@.R.
plunged	p.l.V.n._.d.	p.l.V.n._.
plunked	p.l.V.N.k.t.	p.l.V.N.k.
poached	p.5.J.t.	p.5.J.
pocketed	p.Q.k.I.t.I.d.	p.Q.k.I.t.
podded	p.Q.d.I.d.	p.Q.d.
pointed	p.4.n.t.I.d.	p.4.n.t.
poised	p.4.z.d.	p.4.z.
poisoned	p.4.z.H.d.	p.4.z.H.
poked	p.5.k.t.	p.5.k.
polarized	p.5.l.@.r.2.z.d.	p.5.l.@.r.2.z.
pole-axed	p.5.l.{.k.s.t.	p.5.l.{.k.s.
poled	p.5.l.d.	p.5.l.
pole-vaulted	p.5.l.v.$.l.t.I.d.	p.5.l.v.$.l.t.
policed	p.@.l.i.s.t.	p.@.l.i.s.
polished	p.Q.l.I.S.t.	p.Q.l.I.S.
politicalized	p.@.l.I.t.I.k.@.l.2.z.d.	p.@.l.I.t.I.k.@.l.2.z.
